iter	Passed	Remaining
0	657	130745
1	824	81634
2	1044	68566
3	1298	63614
4	1521	59353
5	1694	54802
6	1901	52413
7	2056	49355
8	2245	47651
9	2464	46833
10	2734	46986
11	2971	46560
12	3255	46828
13	3565	47364
14	3771	46516
15	4036	46423
16	4332	46638
17	4525	45760
18	4688	44665
19	4909	44182
20	5129	43725
21	5265	42599
22	5525	42519
23	5759	42239
24	5977	41841
25	6186	41399
26	6336	40597
27	6591	40489
28	6841	40340
29	7095	40207
30	7326	39943
31	7552	39649
32	7793	39439
33	8014	39129
34	8202	38668
35	8410	38312
36	8649	38102
37	8905	37966
38	9154	37790
39	9413	37652
40	9555	37055
41	9797	36859
42	10008	36541
43	10350	36697
44	10672	36760
45	10991	36797
46	11250	36624
47	11630	36829
48	11823	36436
49	12073	36221
50	12297	35927
51	12519	35633
52	12820	35558
53	13082	35371
54	13389	35299
55	13651	35105
56	13956	35013
57	14252	34893
58	14466	34573
59	14729	34368
60	14977	34129
61	15303	34063
62	15557	33831
63	15746	33461
64	15977	33183
65	16201	32893
66	16444	32644
67	16686	32392
68	16867	32023
69	17012	31595
70	17245	31333
71	17489	31093
72	17691	30778
73	17874	30435
74	18020	30033
75	18213	29716
76	18448	29469
77	18759	29341
78	19010	29117
79	19244	28866
80	19427	28542
81	19689	28333
82	19927	28090
83	20138	27810
84	20388	27584
85	20621	27335
86	20908	27156
87	21143	26910
88	21372	26655
89	21600	26400
90	21850	26172
91	22061	25898
92	22321	25682
93	22555	25434
94	22778	25175
95	23038	24958
96	23270	24709
97	23502	24461
98	23693	24171
99	23955	23955
100	24101	23623
101	24278	23326
102	24529	23100
103	24735	22833
104	24943	22567
105	25159	22311
106	25403	22079
107	25586	21796
108	25804	21542
109	26041	21306
110	26228	21030
111	26454	20785
112	26736	20584
113	27031	20392
114	27244	20137
115	27456	19882
116	27743	19681
117	27978	19442
118	28168	19173
119	28450	18967
120	28682	18726
121	28894	18473
122	29148	18247
123	29361	17995
124	29544	17726
125	29741	17467
126	29954	17217
127	30248	17014
128	30406	16735
129	30583	16468
130	30774	16209
131	30928	15932
132	31188	15711
133	31343	15437
134	31584	15207
135	31846	14986
136	32101	14761
137	32280	14502
138	32491	14258
139	32635	13986
140	32865	13752
141	33108	13523
142	33325	13283
143	33551	13047
144	33761	12806
145	33955	12559
146	34192	12327
147	34433	12098
148	34630	11853
149	34804	11601
150	35039	11370
151	35269	11137
152	35501	10905
153	35650	10648
154	35826	10401
155	36052	10168
156	36247	9927
157	36498	9702
158	36682	9459
159	36874	9218
160	37022	8968
161	37229	8732
162	37450	8500
163	37635	8261
164	37856	8030
165	38068	7797
166	38289	7566
167	38535	7340
168	38668	7093
169	38891	6863
170	39119	6634
171	39389	6412
172	39602	6180
173	39867	5957
174	40119	5731
175	40465	5518
176	40803	5302
177	41024	5070
178	41325	4848
179	41656	4628
180	41893	4397
181	42138	4167
182	42386	3937
183	42591	3703
184	42801	3470
185	42948	3232
186	43171	3001
187	43336	2766
188	43616	2538
189	43894	2310
190	44126	2079
191	44399	1849
192	44600	1617
193	44804	1385
194	45071	1155
195	45287	924
196	45518	693
197	45762	462
198	45960	230
199	46169	0
