iter	Passed	Remaining
0	122	244018
1	247	246997
2	366	244170
3	474	236671
4	594	237281
5	694	230724
6	799	227636
7	907	226066
8	1007	222883
9	1125	223980
10	1242	224741
11	1387	229799
12	1487	227296
13	1587	225267
14	1695	224415
15	1810	224501
16	1917	223643
17	2036	224249
18	2170	226278
19	2306	228381
20	2451	231044
21	2567	230871
22	2719	233722
23	2811	231480
24	2903	229342
25	3055	232018
26	3193	233396
27	3349	235888
28	3443	234053
29	3557	233631
30	3669	233089
31	3762	231417
32	3884	231555
33	4008	231781
34	4128	231796
35	4236	231131
36	4294	227835
37	4396	227018
38	4505	226547
39	4615	226138
40	4713	225235
41	4821	224761
42	4913	223604
43	5061	225003
44	5209	226303
45	5318	225937
46	5495	228375
47	5646	229644
48	5790	230538
49	5953	232183
50	6101	233158
51	6290	235651
52	6429	236177
53	6581	237176
54	6697	236864
55	6844	237612
56	6963	237376
57	7104	237885
58	7241	238231
59	7367	238205
60	7502	238492
61	7565	236495
62	7667	235748
63	7763	234841
64	7829	233082
65	7949	232936
66	8070	232848
67	8180	232409
68	8317	232773
69	8483	233892
70	8642	234807
71	8775	234980
72	8907	235138
73	9044	235406
74	9167	235291
75	9290	235205
76	9420	235257
77	9556	235490
78	9654	234773
79	9748	233971
80	9841	233156
81	9928	232223
82	10042	231947
83	10138	231263
84	10246	230842
85	10342	230172
86	10447	229722
87	10541	229047
88	10643	228545
89	10761	228378
90	10883	228321
91	10996	228061
92	11115	227935
93	11253	228180
94	11391	228425
95	11533	228755
96	11641	228393
97	11727	227605
98	11834	227240
99	11956	227166
100	12056	226694
101	12192	226882
102	12353	227512
103	12486	227645
104	12599	227387
105	12737	227586
106	12853	227399
107	12951	226896
108	13053	226459
109	13160	226116
110	13241	225348
111	13340	224886
112	13439	224435
113	13536	223952
114	13628	223391
115	13714	222746
116	13867	223180
117	14003	223345
118	14083	222617
119	14163	221889
120	14245	221224
121	14323	220483
122	14361	219160
123	14456	218710
124	14556	218340
125	14629	217583
126	14723	217136
127	14811	216621
128	14956	216926
129	15076	216866
130	15203	216908
131	15330	216946
132	15457	216991
133	15545	216478
134	15643	216110
135	15749	215858
136	15843	215442
137	15944	215133
138	16039	214750
139	16133	214345
140	16238	214090
141	16328	213644
142	16418	213207
143	16516	212883
144	16567	211948
145	16665	211633
146	16718	210741
147	16801	210241
148	16867	209536
149	16954	209109
150	17027	208496
151	17107	207986
152	17197	207604
153	17275	207077
154	17333	206326
155	17439	206146
156	17535	205846
157	17640	205662
158	17742	205431
159	17858	205370
160	17968	205242
161	18056	204857
162	18198	205093
163	18294	204812
164	18380	204415
165	18454	203889
166	18498	203043
167	18546	202249
168	18642	201982
169	18744	201777
170	18815	201247
171	18911	200990
172	18991	200560
173	19063	200059
174	19167	199887
175	19259	199596
176	19398	199796
177	19488	199485
178	19594	199343
179	19731	199510
180	19784	198832
181	19920	198987
182	19971	198295
183	20054	197924
184	20123	197431
185	20188	196894
186	20289	196714
187	20396	196586
188	20501	196441
189	20590	196148
190	20714	196190
191	20831	196167
192	20986	196488
193	21105	196479
