iter	MAE	RMSE
0	1330.963079	1695.218655
5	1220.214409	1571.405257
10	1128.436014	1474.818926
15	1064.434762	1412.638395
20	1022.265019	1373.329656
25	992.3969806	1348.023479
30	970.3487171	1330.864471
35	959.309684	1321.558817
40	948.2187891	1313.965377
45	940.4177096	1308.483459
50	934.9413329	1304.96941
55	932.9234981	1303.493655
60	929.958229	1301.661455
65	928.2308354	1300.604746
70	925.2640019	1298.946202
75	923.8935388	1298.230069
80	921.7546934	1296.876355
85	920.3329944	1295.934299
90	919.4835732	1295.481656
95	918.1661452	1294.745294
100	917.3529412	1294.179224
105	916.3592772	1293.601266
110	915.7277847	1292.844069
115	915.5768148	1292.673306
120	914.6712297	1292.089776
125	914.5479506	1292.017677
130	914.3685857	1291.964607
135	913.6002034	1291.109362
140	913.1343867	1290.764499
145	912.9213861	1290.536111
150	912.528786	1290.287011
155	912.4372653	1290.160239
160	912.1801471	1289.709234
165	912.1646589	1289.696874
170	911.8724186	1289.396859
175	911.5922247	1289.030348
180	911.34199	1288.705813
185	911.1305538	1288.296081
190	910.6782697	1287.706712
195	910.2271589	1287.183472
200	909.9159887	1286.9781
205	909.8380788	1286.854239
210	909.7323217	1286.774625
215	909.443836	1286.510165
220	909.3376877	1286.425051
225	909.1761577	1286.334078
230	909.1339174	1286.315583
235	908.8294743	1286.017769
240	908.6981383	1285.927514
245	908.6465895	1285.913499
250	908.5624218	1285.834014
255	908.2973248	1285.588364
260	908.0228411	1285.081403
265	907.8200876	1284.901816
270	907.7303661	1284.845272
275	907.7162078	1284.835734
280	907.5479506	1284.468358
285	907.5232322	1284.453018
290	907.5047716	1284.447031
295	907.4938986	1284.441855
300	907.4127034	1284.401319
305	907.4024562	1284.386227
310	907.3991708	1284.38473
315	907.3825094	1284.377932
320	907.3796934	1284.374502
325	907.3742178	1284.371072
330	907.3688986	1284.369201
335	907.2736233	1284.152713
340	907.2570401	1284.146039
345	907.2532854	1284.142483
350	907.1933667	1284.089837
355	907.1548811	1284.04511
360	907.094806	1283.9841
365	907.0851064	1283.981355
370	907.0803348	1283.973807
375	906.9853723	1283.81222
380	906.9518148	1283.792567
385	906.9348404	1283.780774
390	906.9162234	1283.75669
395	906.9141114	1283.753757
400	906.909418	1283.751886
405	906.7782384	1283.562252
410	906.7674437	1283.543094
415	906.7614205	1283.542782
420	906.5381727	1283.294821
425	906.502816	1283.262363
430	906.4951502	1283.261489
435	906.4874061	1283.259055
440	906.4777065	1283.253937
445	906.4105131	1283.188082
450	906.3939299	1283.181528
455	906.3765645	1283.162426
460	906.3647528	1283.154249
465	906.3651439	1283.152751
470	906.3556008	1283.151627
475	906.3524718	1283.149442
480	906.3484043	1283.146446
485	906.2673655	1283.091448
490	906.2576658	1283.077152
495	906.09903	1282.698782
500	906.0973874	1282.698719
505	906.0753285	1282.677675
510	906.0686014	1282.677175
515	906.0146277	1282.594617
520	906.0111859	1282.593805
525	906.0060232	1282.591869
530	905.9948373	1282.581752
535	905.9964018	1282.580628
540	905.9743429	1282.567825
545	905.9565081	1282.561142
550	905.8921308	1282.521609
555	905.7974812	1282.461401
560	905.7963861	1282.459839
565	905.7663486	1282.436417
570	905.7445244	1282.417117
575	905.7385795	1282.414369
580	905.7293492	1282.413932
585	905.6401752	1282.288317
590	905.6397841	1282.28432
595	905.6325094	1282.284132
600	905.6226533	1282.275512
605	905.6182728	1282.271826
610	905.6088861	1282.270952
615	905.608495	1282.268703
620	905.6046621	1282.26864
625	905.5935544	1282.268141
630	905.5966834	1282.266704
635	905.5830726	1282.261706
640	905.5779099	1282.258333
645	905.5620307	1282.250712
650	905.5142365	1282.189866
655	905.5050063	1282.175061
660	905.4839643	1282.165752
665	905.4721527	1282.151196
670	905.4622184	1282.143324
675	905.4522841	1282.134703
680	905.4511108	1282.133141
685	905.4378911	1282.132142
