iter	Passed	Remaining
0	52	51962
1	87	43629
2	127	42270
3	159	39789
4	192	38297
5	231	38384
6	271	38567
7	308	38217
8	344	37880
9	378	37511
10	409	36806
11	451	37165
12	501	38078
13	547	38534
14	580	38119
15	613	37755
16	647	37458
17	680	37143
18	718	37078
19	755	37012
20	796	37143
21	841	37390
22	878	37325
23	916	37251
24	960	37459
25	1010	37840
26	1054	38000
27	1101	38232
28	1145	38367
29	1187	38382
30	1233	38554
31	1276	38599
32	1315	38556
33	1351	38401
34	1389	38306
35	1430	38311
36	1464	38111
37	1513	38318
38	1556	38344
39	1589	38136
40	1608	37627
41	1644	37504
42	1671	37206
43	1699	36928
44	1730	36729
45	1763	36573
46	1795	36408
47	1833	36372
48	1871	36321
49	1905	36207
50	1935	36012
51	1955	35643
52	1982	35422
53	2001	35061
54	2021	34735
55	2060	34727
56	2085	34502
57	2116	34372
58	2135	34060
59	2153	33743
60	2182	33597
61	2197	33239
62	2223	33066
63	2242	32789
64	2258	32492
65	2284	32326
66	2319	32302
67	2350	32215
68	2377	32076
69	2397	31855
70	2416	31623
71	2448	31554
72	2482	31520
73	2501	31307
74	2528	31184
75	2560	31135
76	2607	31259
77	2657	31417
78	2708	31574
79	2751	31641
80	2785	31604
81	2824	31616
82	2852	31518
83	2879	31401
84	2900	31219
85	2931	31156
86	2954	31005
87	2983	30921
88	3006	30772
89	3038	30726
90	3056	30534
91	3085	30452
92	3098	30223
93	3128	30154
94	3170	30207
95	3211	30237
96	3249	30248
97	3285	30236
98	3317	30190
99	3360	30241
100	3385	30134
101	3424	30144
102	3451	30055
103	3479	29974
104	3522	30021
105	3568	30094
106	3596	30013
107	3642	30086
108	3681	30096
109	3727	30160
110	3761	30124
111	3791	30058
112	3817	29966
113	3837	29827
114	3863	29733
115	3892	29659
116	3949	29807
117	4003	29921
118	4049	29977
119	4098	30054
120	4132	30020
121	4157	29921
122	4176	29780
123	4199	29667
124	4229	29604
125	4249	29473
126	4284	29448
127	4318	29419
128	4344	29332
129	4370	29251
130	4418	29310
131	4479	29453
132	4541	29602
133	4591	29671
134	4623	29626
135	4670	29673
136	4701	29616
137	4732	29561
138	4780	29614
139	4800	29491
140	4840	29487
141	4863	29387
142	4914	29450
143	4956	29461
144	4983	29383
145	5017	29350
146	5070	29421
147	5107	29400
148	5156	29451
149	5205	29497
150	5231	29411
151	5260	29346
152	5283	29250
153	5310	29174
154	5332	29068
155	5366	29031
156	5382	28902
157	5403	28793
158	5435	28751
159	5461	28671
160	5479	28556
161	5495	28429
162	5508	28286
163	5521	28145
164	5542	28047
165	5565	27962
166	5579	27831
167	5610	27786
168	5631	27689
169	5648	27577
170	5671	27497
171	5704	27459
172	5722	27353
173	5737	27235
174	5767	27191
175	5797	27145
176	5812	27024
177	5829	26920
178	5848	26823
179	5879	26783
180	5895	26676
181	5909	26562
182	5928	26466
183	5947	26374
184	5962	26265
185	6011	26309
186	6061	26355
187	6112	26399
188	6138	26339
189	6172	26312
190	6199	26259
191	6223	26188
192	6257	26163
193	6292	26142
194	6326	26118
195	6354	26067
196	6380	26005
197	6402	25934
198	6435	25903
199	6450	25801
200	6483	25771
201	6500	25681
202	6515	25581
203	6542	25526
204	6558	25435
205	6580	25363
206	6606	25307
207	6620	25208
208	6639	25128
209	6654	25034
210	6694	25034
211	6735	25036
212	6767	25005
213	6814	25029
214	6854	25025
215	6882	24981
216	6925	24990
217	6958	24959
218	6995	24949
219	7026	24913
220	7060	24887
221	7106	24904
222	7138	24872
223	7175	24858
224	7213	24846
225	7246	24816
226	7270	24759
227	7297	24707
228	7317	24636
229	7359	24639
230	7384	24581
231	7408	24524
232	7454	24539
233	7478	24479
234	7499	24412
235	7522	24353
236	7546	24295
237	7569	24235
238	7600	24201
239	7630	24163
240	7645	24078
241	7661	23998
242	7681	23928
243	7705	23873
244	7720	23792
245	7739	23722
246	7761	23660
247	7776	23580
248	7794	23509
249	7810	23431
250	7829	23363
251	7844	23285
252	7860	23208
253	7876	23134
254	7912	23116
255	7951	23109
256	7991	23102
257	8010	23036
258	8044	23016
259	8061	22944
260	8080	22880
261	8103	22826
262	8131	22786
